id,tradition,language,type,path,url,md5
samaveda_trans,India/Vedic,English,translation,corpus/India_Vedic/samaveda_trans\samaveda_trans.txt,http://www.sacred-texts.com/hin/sv.htm,c4fcb94529fbf2e59aa8956989b96566
atharvaveda_trans,India/Vedic,English,translation,corpus/India_Vedic/atharvaveda_trans\atharvaveda_trans.txt,http://www.sacred-texts.com/hin/av.htm,dc451d6b4dc47f7e5e568210313b0577
upanishads_trans,India/Vedic,English,translation,corpus/India_Vedic/upanishads_trans\upanishads_trans.txt,http://www.sacred-texts.com/hin/sbe01/index.htm,857134c17dc978544f42ab537f5300fc
mahabharata_trans,India/Epic,English,translation,corpus/India_Epic/mahabharata_trans\mahabharata_trans.txt,http://www.sacred-texts.com/hin/maha/index.htm,328655670b26a67bb418d435d9f9a050
ramayana_trans,India/Epic,English,translation,corpus/India_Epic/ramayana_trans\ramayana_trans.txt,http://www.sacred-texts.com/hin/rama/index.htm,e9db1b58c41e3c4a8cb7def2fac9552c
bhagavad_gita_trans,India/Vedic,English,translation,corpus/India_Vedic/bhagavad_gita_trans\bhagavad_gita_trans.txt,http://www.sacred-texts.com/hin/gita/index.htm,a2bf10e209c8291390ffb7d8ed28e8f3
dhammapada_orig,Buddhism/Pali,Pali,original,corpus/Buddhism_Pali/dhammapada_orig\dhammapada_orig.txt,https://suttacentral.net/dhp/pi,602a6f5be0a086903057137bf4f71d5a
dhammapada_trans,Buddhism/Pali,English,translation,corpus/Buddhism_Pali/dhammapada_trans\dhammapada_trans.txt,https://suttacentral.net/dhp/en,602a6f5be0a086903057137bf4f71d5a
mn_orig,Buddhism/Pali,Pali,original,corpus/Buddhism_Pali/mn_orig\mn_orig.txt,https://suttacentral.net/mn/pi,602a6f5be0a086903057137bf4f71d5a
mn_trans,Buddhism/Pali,English,translation,corpus/Buddhism_Pali/mn_trans\mn_trans.txt,https://suttacentral.net/mn/en,602a6f5be0a086903057137bf4f71d5a
gilgamesh_trans,Mesopotamia,English,translation,corpus/Mesopotamia/gilgamesh_trans\gilgamesh_trans.txt,http://www.sacred-texts.com/ane/eog/index.htm,244b128d846be049310069c4d38fb1ed
pyramid_texts_trans,Egypt,English,translation,corpus/Egypt/pyramid_texts_trans\pyramid_texts_trans.txt,http://www.sacred-texts.com/egy/pyt/index.htm,f66782a1ea7c10f7a5962b0c8ed824f9
book_of_dead_trans,Egypt,English,translation,corpus/Egypt/book_of_dead_trans\book_of_dead_trans.txt,http://www.sacred-texts.com/egy/ebod/index.htm,8df637e3832dfba46555b53d806ada8b
iliad_trans,Greece,English,translation,corpus/Greece/iliad_trans\iliad_trans.txt,https://www.gutenberg.org/cache/epub/6130/pg6130.txt,c2adb0421286dfef54d83f0e324166ec
odyssey_trans,Greece,English,translation,corpus/Greece/odyssey_trans\odyssey_trans.txt,https://www.gutenberg.org/cache/epub/1727/pg1727.txt,0b6a497c7695faf200a18fce3206e5e9
poetic_edda_trans,Norse,English,translation,corpus/Norse/poetic_edda_trans\poetic_edda_trans.txt,http://www.sacred-texts.com/neu/poe/index.htm,1ec20e0f827b8029cb04c69e42386dfe
new_testament_trans,Christianity,English,translation,corpus/Christianity/new_testament_trans\new_testament_trans.txt,http://www.sacred-texts.com/bib/cmt/index.htm,a249a00e71df7fb0be436ecbd5c477d4
yoruba_trans,Africa/Yoruba,English,translation,corpus/Africa_Yoruba/yoruba_trans\yoruba_trans.txt,http://www.sacred-texts.com/afr/yor/index.htm,8a3d5aee78ec0bf3c93112fd5b77dcae
